6734	5996	7622	
5996	7622	5341	
7622	5341	5391	
5341	5391	7213	
5391	7213	6021	
7213	6021	6319	
6021	6319	6277	
6319	6277	6759	
6277	6759	7156	
6759	7156	7398	
7156	7398	10035	
7398	10035	8723	
10035	8723	6281	
8723	6281	5485	
6281	5485	5595	
5485	5595	6245	
5595	6245	6959	
6245	6959	7237	
6959	7237	6136	
7237	6136	2185	
6136	2185	2270	
2185	2270	5762	
2270	5762	6129	
5762	6129	5935	
6129	5935	7510	
5935	7510	8540	
7510	8540	8218	
8540	8218	7465	
8218	7465	7383	
7465	7383	7739	
7383	7739	6885	
7739	6885	8222	
6885	8222	7112	
8222	7112	7391	
7112	7391	4736	
7391	4736	8331	
4736	8331	7759	
8331	7759	7266	
7759	7266	9073	
7266	9073	9112	
9073	9112	9803	
9112	9803	6950	
9803	6950	6610	
6950	6610	7006	
6610	7006	6956	
7006	6956	9573	
6956	9573	7878	
9573	7878	9546	
7878	9546	6932	
9546	6932	6421	
6932	6421	6056	
6421	6056	6514	
6056	6514	9855	
6514	9855	7503	
9855	7503	9856	
7503	9856	6712	
9856	6712	5844	
6712	5844	6398	
5844	6398	6715	
6398	6715	10045	
6715	10045	7512	
10045	7512	9752	
7512	9752	6749	
9752	6749	5796	
6749	5796	5737	
5796	5737	6381	
5737	6381	10373	
6381	10373	8190	
10373	8190	10467	
8190	10467	7528	
10467	7528	6132	
7528	6132	6337	
6132	6337	7210	
6337	7210	10548	
7210	10548	8530	
10548	8530	10586	
8530	10586	7487	
10586	7487	6434	
7487	6434	6322	
6434	6322	6498	
6322	6498	10576	
6498	10576	8281	
10576	8281	11614	
8281	11614	7779	
11614	7779	6850	
7779	6850	6857	
6850	6857	6779	
6857	6779	8619	
6779	8619	9874	
8619	9874	20939	
9874	20939	15951	
20939	15951	10048	
15951	10048	10503	
10048	10503	8330	
10503	8330	8857	
8330	8857	8162	
8857	8162	10251	
8162	10251	7365	
10251	7365	7181	
7365	7181	7341	
7181	7341	7250	
7341	7250	9913	
7250	9913	8561	
9913	8561	10544	
8561	10544	7777	
10544	7777	6746	
7777	6746	7348	
6746	7348	7255	
7348	7255	10098	
7255	10098	9347	
10098	9347	11018	
9347	11018	8143	
11018	8143	7169	
8143	7169	7475	
7169	7475	7658	
7475	7658	10670	
7658	10670	18006	
10670	18006	17040	
18006	17040	10964	
17040	10964	13379	
10964	13379	9581	
13379	9581	7564	
9581	7564	9598	
7564	9598	7925	
9598	7925	9838	
7925	9838	7674	
9838	7674	7386	
7674	7386	6995	
7386	6995	6788	
6995	6788	9918	
6788	9918	9278	
9918	9278	9973	
9278	9973	7847	
9973	7847	6783	
7847	6783	7298	
6783	7298	7567	
7298	7567	9675	
7567	9675	8809	
9675	8809	10271	
8809	10271	7398	
10271	7398	7358	
7398	7358	7316	
7358	7316	7342	
7316	7342	9984	
7342	9984	8731	
9984	8731	9969	
8731	9969	7509	
9969	7509	6705	
7509	6705	6376	
6705	6376	7109	
6376	7109	10650	
7109	10650	8296	
10650	8296	9428	
8296	9428	7009	
9428	7009	6818	
7009	6818	7053	
6818	7053	7059	
7053	7059	9418	
7059	9418	7985	
9418	7985	9693	
7985	9693	7247	
9693	7247	6564	
7247	6564	6961	
6564	6961	7162	
6961	7162	9488	
7162	9488	8397	
9488	8397	10215	
8397	10215	8718	
10215	8718	8300	
8718	8300	9584	
8300	9584	14261	
9584	14261	16984	
14261	16984	8578	
16984	8578	10765	
8578	10765	9768	
10765	9768	9390	
9768	9390	10466	
9390	10466	10188	
10466	10188	10457	
10188	10457	10230	
10457	10230	10089	
10230	10089	9578	
10089	9578	9131	
9578	9131	8915	
9131	8915	8819	
8915	8819	9445	
8819	9445	9331	
9445	9331	10024	
9331	10024	9583	
10024	9583	8303	
9583	8303	7879	
8303	7879	7146	
7879	7146	8600	
7146	8600	8437	
8600	8437	9122	
8437	9122	7973	
9122	7973	7832	
7973	7832	7618	
7832	7618	7497	
7618	7497	8867	
7497	8867	8484	
8867	8484	8382	
8484	8382	7644	
8382	7644	7134	
7644	7134	7157	
7134	7157	7233	
7157	7233	8893	
7233	8893	8641	
8893	8641	8740	
8641	8740	7452	
8740	7452	7298	
7452	7298	7692	
7298	7692	7596	
7692	7596	4750	
7596	4750	7253	
4750	7253	6576	
7253	6576	8589	
6576	8589	7765	
8589	7765	3185	
7765	3185	6804	
3185	6804	9982	
6804	9982	8900	
