5096	6715	12332	18196
4930	10045	11227	20837
4973	7512	12109	16018
7327	9752	9230	14212
6579	6749	8235	14601
7629	5796	8527	14391
5646	5737	8281	21441
4889	6381	12436	16608
5179	10373	10413	19907
5106	8190	12510	15458
7809	10467	8831	13804
7126	7528	7865	14390
7888	6132	8499	15635
5813	6337	9401	22694
5087	7210	13630	18352
5391	10548	10760	21473
5456	8530	12385	16564
7986	10586	9087	15499
6789	7487	8390	14130
7570	6434	8330	15413
6102	6322	8600	22824
5487	6498	12084	21158
5363	10576	10445	23274
5496	8281	12359	16922
7926	11614	9134	15728
6739	7779	7717	15392
7142	6850	7907	15319
5226	6857	8422	21729
5303	6779	11243	17138
5230	8619	9513	20144
5054	9874	10243	13865
